2015-May-13 15:38:41.668520 | DBServiceServer is started
2015-May-13 15:38:45.821118 | Become a candidate: leaderRequest to all nodes
2015-May-13 15:38:47.114196 | getRecover rejected (this node is not a leader)
2015-May-13 15:38:48.205275 | Become a candidate: leaderRequest to all nodes
2015-May-13 15:38:48.206555 | Receive leader vote from 127.0.0.1:9091
2015-May-13 15:38:48.206776 | Become a leader: send newest metadata to all nodes
2015-May-13 15:38:48.207059 | send appendRequest to leader (term 3)
2015-May-13 15:38:48.208175 | sendAppend accepted (term 3)
2015-May-13 15:38:48.208415 | Leader election finished
2015-May-13 15:38:48.215041 | send appendRequest to leader (term 5)
2015-May-13 15:38:48.215711 | sendAppend accepted (term 4)
2015-May-13 15:38:48.217632 | sendAppend rejected (term 5)
2015-May-13 15:38:48.218325 | sendAppend accepted (term 5)
2015-May-13 15:38:48.220291 | send appendRequest to leader (term 6)
2015-May-13 15:38:48.236931 | sendAppend rejected (term 6)
2015-May-13 15:38:48.238577 | sendAppend accepted (term 6)
2015-May-13 15:38:48.239230 | send appendRequest to leader (term 7)
2015-May-13 15:38:48.299828 | sendAppend rejected (term 7)
2015-May-13 15:38:48.363611 | sendAppend accepted (term 7)
2015-May-13 15:38:48.365301 | send appendRequest to leader (term 8)
2015-May-13 15:38:48.368472 | sendAppend accepted (term 8)
2015-May-13 15:38:48.369062 | send appendRequest to leader (term 9)
2015-May-13 15:38:48.528287 | sendAppend rejected (term 9)
2015-May-13 15:38:48.529500 | sendAppend accepted (term 9)
2015-May-13 15:38:48.530280 | send appendRequest to leader (term 10)
2015-May-13 15:38:48.534914 | sendAppend accepted (term 10)
2015-May-13 15:38:48.535531 | send appendRequest to leader (term 11)
2015-May-13 15:38:48.595765 | sendAppend rejected (term 11)
2015-May-13 15:38:48.707659 | sendAppend accepted (term 11)
2015-May-13 15:38:48.708332 | send appendRequest to leader (term 12)
2015-May-13 15:38:48.762609 | sendAppend accepted (term 12)
2015-May-13 15:38:48.763292 | send appendRequest to leader (term 13)
2015-May-13 15:38:48.764159 | sendAppend accepted (term 13)
2015-May-13 15:38:48.764859 | send appendRequest to leader (term 14)
2015-May-13 15:38:48.765668 | sendAppend accepted (term 14)
2015-May-13 15:38:48.766899 | sendAppend rejected (term 13)
2015-May-13 15:38:48.766990 | send appendRequest to leader (term 15)
2015-May-13 15:38:48.767805 | sendAppend accepted (term 15)
2015-May-13 15:38:48.768326 | send appendRequest to leader (term 16)
2015-May-13 15:38:48.770934 | sendAppend accepted (term 16)
2015-May-13 15:38:48.771625 | send appendRequest to leader (term 17)
2015-May-13 15:38:48.776473 | sendAppend rejected (term 17)
2015-May-13 15:38:48.860752 | sendAppend accepted (term 17)
2015-May-13 15:38:48.861494 | send appendRequest to leader (term 18)
2015-May-13 15:38:48.865875 | sendAppend rejected (term 18)
2015-May-13 15:38:48.866343 | sendAppend accepted (term 18)
2015-May-13 15:38:48.866814 | send appendRequest to leader (term 19)
2015-May-13 15:38:48.887422 | sendAppend rejected (term 19)
2015-May-13 15:38:53.252571 | DBServiceServer is started
2015-May-13 15:38:56.389662 | Become a candidate: leaderRequest to all nodes
2015-May-13 15:38:57.865180 | Receive leader vote from 127.0.0.1:9091
2015-May-13 15:38:57.866334 | Become a leader: send newest metadata to all nodes
2015-May-13 15:38:57.867158 | send appendRequest to leader (term 20)
2015-May-13 15:38:57.868431 | sendAppend accepted (term 20)
2015-May-13 15:38:57.868737 | Leader election finished
2015-May-13 15:40:44.674369 | send appendRequest to leader (term 21)
2015-May-13 15:40:44.675760 | sendAppend accepted (term 21)
2015-May-13 15:40:44.726357 | send appendRequest to leader (term 22)
2015-May-13 15:40:44.727735 | sendAppend accepted (term 22)
2015-May-13 15:40:44.775418 | send appendRequest to leader (term 23)
2015-May-13 15:40:44.776625 | sendAppend accepted (term 23)
2015-May-13 15:40:44.826414 | send appendRequest to leader (term 24)
2015-May-13 15:40:44.829533 | sendAppend accepted (term 24)
2015-May-13 15:41:44.684480 | send appendRequest to leader (term 25)
2015-May-13 15:41:44.686746 | sendAppend accepted (term 25)
2015-May-13 15:41:44.732305 | send appendRequest to leader (term 26)
2015-May-13 15:41:44.733543 | sendAppend accepted (term 26)
2015-May-13 15:41:44.781288 | send appendRequest to leader (term 27)
2015-May-13 15:41:44.785690 | sendAppend accepted (term 27)
2015-May-13 15:41:44.836370 | send appendRequest to leader (term 28)
2015-May-13 15:41:44.837673 | sendAppend accepted (term 28)
2015-May-13 16:23:28.415919 | DBServiceServer is started
2015-May-13 16:23:30.814845 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:23:32.401061 | getRecover rejected (this node is not a leader)
2015-May-13 16:23:33.199962 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:23:33.201677 | Receive leader vote from 127.0.0.1:9091
2015-May-13 16:23:33.202337 | Become a leader: send newest metadata to all nodes
2015-May-13 16:23:33.202859 | send appendRequest to leader (term 3)
2015-May-13 16:23:33.205119 | sendAppend accepted (term 3)
2015-May-13 16:23:33.205554 | Leader election finished
2015-May-13 16:23:33.209568 | send appendRequest to leader (term 4)
2015-May-13 16:23:33.210167 | sendAppend rejected (term 4)
2015-May-13 16:23:33.210877 | sendAppend accepted (term 4)
2015-May-13 16:23:33.215073 | sendAppend accepted (term 5)
2015-May-13 16:23:33.218146 | send appendRequest to leader (term 6)
2015-May-13 16:23:33.219218 | sendAppend accepted (term 6)
2015-May-13 16:23:33.223096 | send appendRequest to leader (term 7)
2015-May-13 16:23:33.224344 | sendAppend accepted (term 7)
2015-May-13 16:23:33.224987 | sendAppend rejected (term 7)
2015-May-13 16:23:33.225101 | send appendRequest to leader (term 8)
2015-May-13 16:23:33.227860 | sendAppend accepted (term 8)
2015-May-13 16:25:00.746640 | send appendRequest to leader (term 9)
2015-May-13 16:25:00.747321 | sendAppend rejected (term 9)
2015-May-13 16:25:03.131006 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:25:05.515471 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:25:07.930958 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:25:10.316326 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:25:11.802007 | getRecover rejected (this node is not a leader)
2015-May-13 16:25:12.703785 | Become a candidate: leaderRequest to all nodes
2015-May-13 16:25:12.743845 | Receive leader vote from 127.0.0.1:9091
2015-May-13 16:25:12.744263 | Become a leader: send newest metadata to all nodes
